month,pipeline_revenue_inr,finance_revenue_inr,difference_inr,assessment
2024-01,38856593.07,38446071.33,410521.74,Finance definition/closed-book adjustment
2024-02,35235367.37,34887085.55,348281.82,Finance definition/closed-book adjustment
2024-03,42392948.91,42457899.09,-64950.18,Finance definition/closed-book adjustment
2024-04,38334279.57,37958457.37,375822.20,Finance definition/closed-book adjustment
2024-05,42190269.66,41764716.4,425553.26,Finance definition/closed-book adjustment
2024-06,39354289.13,38987082.82,367206.31,Finance definition/closed-book adjustment
2024-07,40696442.04,40527291.81,169150.23,Finance definition/closed-book adjustment
2024-08,45711276.42,45252181.75,459094.67,Finance definition/closed-book adjustment
2024-09,45085522.09,44615037.46,470484.63,Finance definition/closed-book adjustment
2024-10,56927219.51,56359195.92,568023.59,Finance definition/closed-book adjustment
2024-11,52095048.65,51583838.47,511210.18,Finance definition/closed-book adjustment
2024-12,51256695.71,50745209.0,511486.71,Finance definition/closed-book adjustment
